event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,0ef27014-a826-45ef-81e3-71857c9bbc12,724,1,00:20:51.227,20,51,43,Croatia,From Free Kick,,Croatia,Domagoj Vida,Left Center Back,1.013,,0.12795697,c6ff0d60-6068-4815-a43f-378ced83acfb,Head,Open Play,Off T,Normal,,,,,,,112.0,49.0,119.0,36.6,5.0
shot,1814c94d-845d-43a6-be00-ccd67bcb403b,793,1,00:23:34.907,23,34,49,Croatia,From Free Kick,,Croatia,Ivan Rakitić,Left Center Midfield,2.053,,0.06950906,d9b70523-d60f-4595-95d2-204ab2f5e018,Left Foot,Open Play,Off T,Volley,,,,,,,108.0,29.0,120.0,47.5,6.4
shot,d3dd1458-33f9-4810-aaf5-3bca48c7897d,911,1,00:27:53.880,27,53,58,Croatia,From Free Kick,,Croatia,Ivan Perišić,Left Wing,0.587,,0.08394905,d87e434f-e346-49ad-a3e8-bc6c028146cf,Left Foot,Open Play,Goal,Half Volley,,,,,,True,105.0,32.0,120.0,43.6,0.8
shot,864ce121-d6ff-4c6e-b1f9-73f51c8c48bc,1053,1,00:37:56.787,37,56,73,France,Other,,France,Antoine Griezmann,Right Center Forward,0.533,,0.7835,,Left Foot,Penalty,Goal,Normal,,,,,,,108.0,40.0,120.0,37.6,0.1
shot,a49c24e3-0049-453e-9263-611e3add58af,1077,1,00:39:25.267,39,25,74,Croatia,Regular Play,,Croatia,Ante Rebić,Right Wing,1.0,,0.10217809,6ef3c4ab-762d-4862-b26b-8e67d3e3d9b6,Left Foot,Open Play,Wayward,Half Volley,,,,,,,108.0,41.0,116.0,41.0,
shot,6eacb342-7b56-4445-9196-7ffd1077593f,1196,1,00:42:47.027,42,47,80,Croatia,From Free Kick,,Croatia,Ivan Perišić,Left Wing,0.2,True,0.11224287,15d22b9b-2f34-4df9-a151-b2c5e539b6f4,Head,Open Play,Blocked,Normal,,,,,,,117.0,34.0,115.0,35.0,
shot,b0bf20c4-f909-4385-80f3-86fbcb43d7dc,1201,1,00:42:50.027,42,50,80,Croatia,From Free Kick,,Croatia,Dejan Lovren,Right Center Back,0.24,,0.046404753,,Right Foot,Open Play,Blocked,Half Volley,True,,,,,,113.0,26.0,113.0,29.0,
shot,6a35cfba-3fb3-4bfa-9dd5-505dbd987f3d,1231,1,00:45:17.307,45,17,83,Croatia,From Corner,,Croatia,Domagoj Vida,Left Center Back,1.2,,0.14083989,409d5381-2f20-413b-a94e-d2e378458438,Head,Open Play,Off T,Normal,,,,,,,115.0,40.0,120.0,46.9,0.3
shot,57a6526e-9652-4195-8151-674c888e04d3,1405,2,00:01:10.027,46,10,95,France,From Keeper,,France,Antoine Griezmann,Right Center Forward,1.653,,0.03339769,d467e2ba-6c41-4653-a0dc-c056213f2845,Left Foot,Open Play,Saved,Normal,True,,,,,,95.0,45.0,119.0,38.9,0.5
shot,41bdee9c-1f32-4ec1-b260-b77dcbe586c0,1459,2,00:02:02.947,47,2,97,Croatia,Regular Play,,Croatia,Ante Rebić,Right Wing,0.6,,0.07285214,17d3a8aa-1741-4e9d-a5e3-68897ce5dad5,Left Foot,Open Play,Saved,Normal,,,,,,,108.0,26.0,119.0,38.9,2.6
